Titre;descriptif du projet;Nature;Thématiques;Etat de la consultation publique;Type de procédure;Maîtrise d’ouvrage;Auteur;Nom du bureau d’étude;Diffuseur;Date de diffusion;Source;Date avis publication;departement_de_la_prefecture;dateouverture;datefermeture;SIREN
Exploitation temporaire d'une unité de broyage de déchets verts dans un centre de tri;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;TRIARTOIS SERVICES;TRIARTOIS SERVICES;;CGDD - MTES;2008-07-30T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
production de panneaux de mousse polyuréthane;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société EFISOL;Société EFISOL;;CGDD - MTES;2008-06-25T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Exploitation de carrière;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SARL MAIRE;SARL MAIRE;;CGDD - MTES;2009-09-22T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Autorisation d'extension d'une carrière;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;STE PL FAVIER;STE PL FAVIER;;CGDD - MTES;2014-02-07T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
station transit de produits minéraux;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SA DTP TERRASSEMENT;SA DTP TERRASSEMENT;;CGDD - MTES;2007-07-05T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Autorisation d'exploiter une unité de peinture par poudrage électrostatique;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Metal Color Europe;Metal Color Europe;;CGDD - MTES;2009-09-22T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
élevage avicole;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EARL CHUPIN;EARL CHUPIN;;CGDD - MTES;2011-10-26T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Arrêté autorisant la sté TOTAL RAFFINAGE MARKETING à étendre les activité de la station service sise à Dracé;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;TOTAL RAFFINAGE MARKETING;TOTAL RAFFINAGE MARKETING;;CGDD - MTES;2010-01-15T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Extension d'une carrière;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SARL BARDET TP;SARL BARDET TP;;CGDD - MTES;2008-02-01T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
autorisation d'exploiter une installation de combustion et une plateforme de compostage;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;COREVADE;COREVADE;;CGDD - MTES;2013-02-15T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Poursuite de l'exploitation de la laiterie;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Laiterie de Saint Père en Retz;Laiterie de Saint Père en Retz;;CGDD - MTES;2007-07-03T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Exploitation d'une unité de récupération de ferrailles et de métaux non ferreux;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société ESKA;Société ESKA;;CGDD - MTES;2008-01-29T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Unité de récupération de métaux et carcasses de véhicules hors d'usage;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;FLASH AUTO;FLASH AUTO;;CGDD - MTES;2008-06-25T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Etablissement de fabrication  d'éléments en polystyrène expansé;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SARL POLYDEC INDUSTRIES;SARL POLYDEC INDUSTRIES;;CGDD - MTES;2010-02-11T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Urbanisation de la Zac du Pré à Avrillé;;Autres;AUTRES;Fermé;Déclaration d'utilité publique (DUP);Société Publique Locale d'Aménagement de l'Anjou;Société Publique Locale d'Aménagement de l'Anjou;;CGDD - MTES;2014-06-16T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Extension élevage porcin;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EARL GOARNISSON;EARL GOARNISSON;;CGDD - MTES;2013-06-13T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
centre de tri de déchets ferreux et non ferreux - agrément au titre des VHU - station de transit de déchets D3E;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;ETS TILET;ETS TILET;;CGDD - MTES;2008-02-21T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Exploitation d'une unité de récupération et de recyclage de fers et métaux;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société SOFERLOR RECYCLING;Société SOFERLOR RECYCLING;;CGDD - MTES;2008-01-29T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Aménagement d'un parking public;;Autres;AUTRES;Fermé;Déclaration d'utilité publique (DUP);Commune d'Eguisheim;Commune d'Eguisheim;;CGDD - MTES;2008-06-06T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Autorisation d'exploitation d'une carrière à ciel ouvert de calcaire;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;LA CARRIERE DE BIDACHE Lieu dit Marianette;LA CARRIERE DE BIDACHE Lieu dit Marianette;;CGDD - MTES;2008-12-11T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Plate forme de stockage de boues et épandage de boues des station d'épuration de la malterie;;Autres;AUTRES;Fermé;Autorisation au titre du code de l'environnement;MALTERIE SOUFFLET;MALTERIE SOUFFLET;;CGDD - MTES;2008-05-29T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Extension et exploitation d'une carrière;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;LAFARGE GRANULATS SUD;LAFARGE GRANULATS SUD;;CGDD - MTES;2013-11-12T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Création du parc éolien de La Souterraine/Saint-Agnant-de-Versillat;;Eoliennes;ÉNERGIE;Fermé;Permis de construire;SAS Société d'Exploitation du par éolien de La Souterraine;SAS Société d'Exploitation du par éolien de La Souterraine;;CGDD - MTES;2013-06-27T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
SARL ECOCENTRE;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SARL ECOCENTRE;SARL ECOCENTRE;;CGDD - MTES;2008-02-01T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Elevage porcin;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SARL DU GUE BOTTEREL;SARL DU GUE BOTTEREL;;CGDD - MTES;2013-05-21T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Parc éolien du Chauchet et Saint-Priest;;Eoliennes;ÉNERGIE;Fermé;Permis de construire;WPD Energie 21 Limousin SAS;WPD Energie 21 Limousin SAS;;CGDD - MTES;2013-06-27T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Autorisation d'exploiter un établissement à FERRIERES par la Société NOTILIA (mise à jour administrative des activités);;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code minier;Société NOTILIA;Société NOTILIA;;CGDD - MTES;2009-11-05T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
autorisation d'exploiter un élevage porcin de 905 truies, 2 verrats, 128 cochettes soit 2849 animaux équivalents;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SCEA LA TREMBLAIE;SCEA LA TREMBLAIE;;CGDD - MTES;2009-02-05T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Demande d'autorisation de mise en service d'un centre de récupération et de valorisation des métaux et unité de transit à CORBAS;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;ACMET ALLIAGES;ACMET ALLIAGES;;CGDD - MTES;2008-02-21T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
UNITE DE TRAITEMENT DE DECHETS FEREMENTES;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;UNION DES COOPERATIVES FERTIL EVEIL;UNION DES COOPERATIVES FERTIL EVEIL;;CGDD - MTES;2017-09-18T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
extension d'une unité d'abattage et de découpe de volailles;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Coopérative Agricole des Producteurs Associés de la Galaure (CAPAG);Coopérative Agricole des Producteurs Associés de la Galaure (CAPAG);;CGDD - MTES;2013-11-12T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Extension avec augmentation d'effectif d'un élevage bovin;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GAEC DE LA CUSTIERE;GAEC DE LA CUSTIERE;;CGDD - MTES;2008-11-14T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Augmentation des activités d'un abattoir;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAS ACLV;SAS ACLV;;CGDD - MTES;2017-09-18T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Régularisation d'une installation de traitement de déchets d'équipement électriques et électroniques (D3E);;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société TERECOVAL;Société TERECOVAL;;CGDD - MTES;2008-12-04T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Restructuration d'un élevage porcin à PLOUGUERNEAU par l'EARL LE ROY;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EARL LE ROY;EARL LE ROY;;CGDD - MTES;2008-12-11T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Exploitaiton d'un élevage de 120 vaches laitières et 15 vaches allaitantes;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GAEC de l'Europe;GAEC de l'Europe;;CGDD - MTES;2011-07-26T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
réalisation de la station d'épuration des Grésillons;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SIAAP;SIAAP;;CGDD - MTES;2009-02-05T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
SCEA ORBERIE -agrandir une porcherie;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SCEA L'ORBERIE;SCEA L'ORBERIE;;CGDD - MTES;2009-12-04T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Régularisation d'un élevage porcin;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;BERNARD Jean-Yves;BERNARD Jean-Yves;;CGDD - MTES;2010-06-03T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Exploitation d'un élevage de bovins à l'engrais, communes de BERNEUIL et SAINT JUNIEN LES COMBES;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SCEA DOMAINE DE BERNEUIL;SCEA DOMAINE DE BERNEUIL;;CGDD - MTES;2009-01-19T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Autorisation de poursuivre l'exploitation des installations de traitement de surface;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;MOSELLE DECAP;MOSELLE DECAP;;CGDD - MTES;2007-06-08T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
élevage bovin;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GAEC DU PATIS;GAEC DU PATIS;;CGDD - MTES;2010-04-19T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
SAS HELIOS PERIERS;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAS HELIOS PERIERS;SAS HELIOS PERIERS;;CGDD - MTES;2014-02-07T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Autorisation d'extension d'un site de stockage de céréales à BAZILLAC;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAS CASAUS;SAS CASAUS;;CGDD - MTES;2010-01-07T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Extension de la capacité d'un élevage de volailles de chair;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EARL DE LA VALLEE;EARL DE LA VALLEE;;CGDD - MTES;2011-09-30T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
exploitation d'un atelier de fabrication d'articles de maroquinerie sur la commune de MARSAZ;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société des Ateliers LOUIS VUITTON;Société des Ateliers LOUIS VUITTON;;CGDD - MTES;2008-08-12T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Demande d'autorisation de création d'un centre de transit, de regroupement et de pré-traitement de déchets industriels spéciaux et d'une unité de tratement d'effluents industriels;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAS P.S.I. (Pyrénées Services Industries);SAS P.S.I. (Pyrénées Services Industries);;CGDD - MTES;2010-01-07T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Exploiter une fonderie d'aluminium par la société PACY TECHNOLOGIES à Pacy sur Eure;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;PCY TECHNOLOGIES;PCY TECHNOLOGIES;;CGDD - MTES;2008-09-01T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Renouvellement d'autorisation et extension de la carrière du Thym, à Moutier-Rozeille;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société FAYOLLE & Fils;Société FAYOLLE & Fils;;CGDD - MTES;2013-10-07T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
ICPE GIE Chardonneuse (CAJ et Euroluz);;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GIE Chardonneuse;GIE Chardonneuse;;CGDD - MTES;2008-11-07T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Société d'Exploitation des Carrières du Val de Seine à VERNON - Carrière de pierre de taille;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société d'Exploitation des Carrières du Val-de-Seine;Société d'Exploitation des Carrières du Val-de-Seine;;CGDD - MTES;2009-02-02T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
autorisation de rejet - déclaration pour l'épandage;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Commune de Mayenne;Commune de Mayenne;;CGDD - MTES;2008-10-02T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Régularisation d'une installation de mise en oeuvre de produits de préservation du bois;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société Entreprise DUBOURGEAT S.A.S.;Société Entreprise DUBOURGEAT S.A.S.;;CGDD - MTES;2008-12-04T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Plan d'épandage porcin - mise à jour;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EARL DE LONGUERAC;EARL DE LONGUERAC;;CGDD - MTES;2013-07-05T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
usine de fabrication de panneaux de bois contreplaqués de la société THEBAULT PLY LAND à SOLFERINO;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;THEBAULT PLY LAND;THEBAULT PLY LAND;;CGDD - MTES;2008-06-06T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
exploitation d'une installation de travail mécanique des métaux et alliages par la société Gestamp Ronchamp;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société Gestamp Ronchamp;Société Gestamp Ronchamp;;CGDD - MTES;2008-08-05T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Extension et exploitation d'un centre de stokage des déchets ménagers par le SETOM à Mercey et la Chapelle Réanville;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SETOM de l'Eure;SETOM de l'Eure;;CGDD - MTES;2008-09-01T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Elevage avicole - extension;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;M. et Mme COUETTE;M. et Mme COUETTE;;CGDD - MTES;2013-10-31T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
autorisation de travaux de réfection du quai Maurice Ravel et de déroctage du chenal d'entrée du port de Saint Jean de Luz;;Autres;AUTRES;Fermé;Autorisation au titre du code de l'environnement;Conseil Général des Pyrénées-Atlantiques -Direction développement Pôle Ports et Pêche;Conseil Général des Pyrénées-Atlantiques -Direction développement Pôle Ports et Pêche;;CGDD - MTES;2008-12-11T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Exploitation d'une unité de MMP sur le site ADISSEO de St Clair du Rhône (projet EUROPE 2);;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;ADISSEO;ADISSEO;;CGDD - MTES;2012-06-18T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
entrepôt de marchandises combustibles de la société GUYENNE & GASCOGNEà LABENNE;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GUYENNE & GASCOGNE;GUYENNE & GASCOGNE;;CGDD - MTES;2008-06-06T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
plate-forme logistique;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société Prologis-France LXXVII;Société Prologis-France LXXVII;;CGDD - MTES;2008-09-08T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Autorisation d'exploiter des installations de déconditionnement organique à Ormes;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;société SDORA;société SDORA;;CGDD - MTES;2016-03-18T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
exploitation d'une carrière de sables et graviers - Sté THOMAS;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SA THOMAS;SA THOMAS;;CGDD - MTES;2013-10-31T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
URBANISATION DES HAUTS DE MURS à MURS-ERIGNE;;Autres;AUTRES;Fermé;Déclaration d'utilité publique (DUP);SOCIETE D'EQUIPEMENT DE MAINE ET LOIRE SODEMEL;SOCIETE D'EQUIPEMENT DE MAINE ET LOIRE SODEMEL;;CGDD - MTES;2012-02-10T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
création d'une centrale d'énergie;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;centre hospitalier universitaire;centre hospitalier universitaire;;CGDD - MTES;2017-09-18T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
élevage porcin;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EARL  LAURENTAIS;EARL  LAURENTAIS;;CGDD - MTES;2013-08-02T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Création d'un bâtiment logistique et de fabrication - ZAC des Pierres Blanches à Mions;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;ALDES AERAULIQUE;ALDES AERAULIQUE;;CGDD - MTES;2008-02-01T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
EXPLOITATION D'UNE CARRIERE DE LAVES TRACHY-ANDESITES;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SOCIETE CARRIERES DES GOULOTS;SOCIETE CARRIERES DES GOULOTS;;CGDD - MTES;2012-06-21T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
AMENAGEMENT DU QUARTIER DES PEIREGUINS A CUERS;;Autres;AUTRES;Fermé;Déclaration d'utilité publique (DUP);Etablissement Public Foncier PACA;Etablissement Public Foncier PACA;;CGDD - MTES;2011-02-21T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
A304 prolongement de l'A34 vers la Belgique;;Autres;AUTRES;Fermé;Autorisation au titre du code de l'environnement;DREAL;DREAL;;CGDD - MTES;2011-04-15T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Autorisation d'exploitation de carrière société Nouvelle ECT ( SNECT);;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société Nouvelle ECT ( SNECT);Société Nouvelle ECT ( SNECT);;CGDD - MTES;2010-07-26T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Unité de stockage de céréales et de fabrication d'aliments pour animaux;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;AXE assistance et expertise;AXE assistance et expertise;;CGDD - MTES;2008-05-30T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Extension d'une installation de fabrication de composés organohalogénés et exploitatio nd'un nouveau prinicpe actif;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GUERBET;GUERBET;;CGDD - MTES;2008-05-13T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Ets de lavage et conditionnement;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;AGRIAL;AGRIAL;;CGDD - MTES;2010-07-26T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Epandage de boues de STEP de Charleville;;Stations d'épuration des eaux usées des collectivités locales;URBANISME ET CONSTRUCTION;Fermé;Autorisation au titre du code de l'environnement;Com d'Agglo de Charleville Mezieres;Com d'Agglo de Charleville Mezieres;;CGDD - MTES;2009-08-06T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Société VALORYELE - Usine d'incinération d'ordures ménagères -;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société VALORYELE;Société VALORYELE;;CGDD - MTES;2007-07-27T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Extension et délocalisation partielle d'un élevage porcin par restructuration interne;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EARL DE TROGANVEL;EARL DE TROGANVEL;;CGDD - MTES;2010-07-26T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
SERMACO - Extension des activités de gestion de déchets;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SERMACO;SERMACO;;CGDD - MTES;2014-12-24T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
exploitation d'une unité de fabrication de portes et blocs porte;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;CIB;CIB;;CGDD - MTES;2009-08-06T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Régularisation de la situation administrative et extension d'un atelier de fabrication de charpentes en bois;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EURO LAMELLE SAS;EURO LAMELLE SAS;;CGDD - MTES;2007-04-19T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Parc éolien;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SOCPE PIERRE BISE;SOCPE PIERRE BISE;;CGDD - MTES;2015-02-16T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
exploitation d'une blanchisserie;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;société MAJ;société MAJ;;CGDD - MTES;2008-05-26T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Poursuivre et étendre l'exploitation d'une unité d'imprégnation de bois;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;A.P.O.R.A.;A.P.O.R.A.;;CGDD - MTES;2007-06-08T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Exploitation d'entrepôts liée au stockage de fournitures de bureau;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société JM BRUNEAU;Société JM BRUNEAU;;CGDD - MTES;2008-06-25T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
"la restructuration d'un élevage porcin avec rapatriement d'un atelier porcin situé à kERMOROC'H soit un cheptel de 2017 pl. animaux équivalents ainsi que la mise à jour du plan d'épandage en TREGONNEAU au  lieu-dit""Ruguézou""";;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;S.C.E.A. LE BIHAN Thierry;S.C.E.A. LE BIHAN Thierry;;CGDD - MTES;2009-10-19T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
ETS MARCEL BRAUD;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;ETS BRAUD MARCEL;ETS BRAUD MARCEL;;CGDD - MTES;2007-06-14T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
centrale d'enrobage à chaud temporaire;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GIE;GIE;;CGDD - MTES;2014-05-23T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Carrière de roches massives;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Réseau Ferré de France;Réseau Ferré de France;;CGDD - MTES;2007-07-27T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
SCI NORWICH IR;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SCI NORWICH IR - Monsieur Dominique MASSELIN;SCI NORWICH IR - Monsieur Dominique MASSELIN;;CGDD - MTES;2009-09-22T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
établissement d'élevage de porcs en stabulaltion de 875 animaux équivalents;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EARL CHEVALIER;EARL CHEVALIER;;CGDD - MTES;2008-06-25T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
GAEC DE L'EOLIENNE;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GAEC DE L EOLIENNE;GAEC DE L EOLIENNE;;CGDD - MTES;2009-10-19T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
création d'un élevage de volailles;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GAEC DE KERSCOMARD;GAEC DE KERSCOMARD;;CGDD - MTES;2009-09-22T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Aménagement et réalisation des équipements publics des secteurs Nord et Sud de la ZAC Jules Verne (hors aérodrome);;Création de ZAC;URBANISME ET CONSTRUCTION;Fermé;Déclaration d'utilité publique (DUP);Chambre de Commerce et d'Industrie (C.C.I.) d'Amiens;Chambre de Commerce et d'Industrie (C.C.I.) d'Amiens;;CGDD - MTES;2007-03-30T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
